"","tmin.mean","tmin.sd","tmin.01","tmin.025","tmin.05","tmin.50","tmin.95","tmin.975","tmin.99","tseas.mean","tseas.sd","tseas.01","tseas.025","tseas.05","tseas.50","tseas.95","tseas.975","tseas.99","pmin.mean","pmin.sd","pmin.01","pmin.025","pmin.05","pmin.50","pmin.95","pmin.975","pmin.99","pseas.mean","pseas.sd","pseas.01","pseas.025","pseas.05","pseas.50","pseas.95","pseas.975","pseas.99","gbif.records"
"Magnolia acuminata",-50.1294117647059,45.4262322566027,-138.52,-126.4,-106.8,-57,29.6,39.5,43,7873.03529411765,1183.06785868914,3668,6335.3,6482,7716,9718.2,9850.9,10079.08,74.2352941176471,22.9941229855968,10.92,16,22.2,80,101,113.8,123.32,17.4,11.9145769063422,7,7,7.2,15,45,49,55.7599999999999,85
"Magnolia grandiflora",56.4930555555556,56.7625401600692,-82.14,-81,-43.05,58,145.85,148,148,4890.76388888889,2523.78325453864,267.6,289.175,298,4890.5,8427.84999999999,9818.925,9923,51.0277777777778,31.5199890943781,0,0.575,2,48,103,103,103,43.0833333333333,21.6350854649785,10,10.575,16,37,82,93.2749999999999,98.57,145
"Magnolia tripetala",-41.5757575757576,36.8159917619674,-97,-97,-97,-47,15.5,23.125,39.4499999999998,8032.59090909091,1171.58065453042,4678.5,5293.625,5772,8533,9638.5,9799.25,9923,72.7424242424242,18.259927210286,15,17.5,31,79,89,90,91.4,16.6969696969697,11.2905265898447,7,7,7,13.5,47.75,48.375,50.05,67
"Malus baccata",-67.9922480620155,63.1545099493139,-184.44,-165,-165,-74,25.9999999999999,48.6,62.52,8326.27131782946,2323.68244170197,3655.88,4293.6,4462.4,8764,12059.6,12426,12445.44,37.4806201550388,26.4058175334982,2.28,3,3,31,84.6,85.8,86.72,47.5116279069767,29.8684920419573,7,7,8,45,104,108.8,123,129
"Malus pumila",-6.64920273348519,61.7780675349946,-164.62,-148,-117.1,12,67.1,81,84.24,5679.07061503417,2284.80860823848,1005.8,2637.7,2954.2,4786,9654.2,10316.35,10763.66,34.1753986332574,21.6377130553963,0,2,3,31,80,84,86.62,40.2915717539863,21.3126690095196,7,7.95,10.9,40,84.2999999999999,92.2,98.62,439
"Mammea africana",196.004149377593,17.5013089808808,139.8,156,167,203,218,220,220,839.850622406639,177.195285659714,426.4,464,535,861,1086,1086,1103,30.7551867219917,24.4215202243668,2,3,3,23,74,74,105,60.4979253112033,16.1201541766117,27,27,27,60,83,89,103.2,242
"Mangifera indica",163.450588235294,53.3028817442815,5,45,68.45,176,223,228,230.51,1565.96117647059,1414.35467007628,230.45,262.9,309,1009,4077.65,4837.975,6729.14999999999,41.5193889541716,45.9032028881525,0,0,1,28,122,156,197,62.8155111633372,25.8941745720503,15,18,22,63,104,114,124,908
"Manilkara bidentata",206.16512345679,24.9543425983,92.81,148.175,166,214,226,227,228,568.759259259259,221.604485125144,278.41,291.525,339.35,504,1110.2,1238.95,1251,72.8302469135803,51.9177111227308,4,4,8,65,176.3,203.825,301,47.4212962962963,16.8898598714661,17,18,22,47,83,84,85.53,653
"Mansoa verrucifera",177.210970464135,25.7093806230393,99.68,117.9,140,178,214,217.1,221,1143.44303797468,645.529478120818,309.4,331.6,380.2,951,2225,2261,2270.48,49.1012658227848,51.2525141847238,0,0,1,36,175,193,210.4,60.7848101265823,25.820273971263,14.72,17,18,55,118,119,120,242
"Maquira calophylla",195.79,20.9803904615619,151.29,153.95,159,200,225,225,226,528.42,212.607368323223,266,318.65,344.6,459.5,1070.5,1105.65,1172,129.39,67.0947571138074,9.93,16.85,23,159,202.05,206.1,214.17,32.11,16.7616426198802,13.98,14.975,16,22,62,63.175,70.05,200
"Mespilus germanica",-3.5031847133758,44.802075301609,-111.96,-97,-86,-1,61.2,67.1,72,5895.84713375796,1271.98448912897,3651.4,3718.7,3890.4,5590,8095.8,8396,8422,38.3949044585987,18.3693438745601,2,6.7,8,37,67,69,83,28.9171974522293,14.221220052713,9.12,10,11,25,51.2,55.2,78,158
"Milicia excelsa",188.468319559229,28.2114346196877,85.58,108.05,130.2,196,219,219,219,1059.53168044077,520.456202310976,426,486.2,530,959,2345,2676,2870.68,20.8429752066116,21.2513275234851,0,1,1.1,12,73,74.95,76,62.5674931129477,16.9323561927923,27,28,29,63,93,98,107.8,371
"Minquartia guianensis",193.567065073041,24.8231742063327,81,143.8,157.6,199,225,225,225,562.660026560425,204.256822872317,266.52,296,354,479,1037,1073.6,1215,113.019920318725,65.2838799015013,11.04,15,22.2,96,205,224.6,269,37.6613545816733,16.2355764719161,13,14,16,40,64.4,68,74.8800000000001,753
"Monotoca elliptica",55.638783269962,21.6835846984278,-13.5,-6,5,60.5,79,80,85.5,3390.06653992395,575.83179864081,2726,2732,2746.5,3336,4482,4629.25,4828,52.8897338403042,13.6980780412532,31.5,33,35.25,53,78,83,85,22.5209125475285,6.53711308963087,10.25,11,13,22,34,37,39.75,568
"Morus alba",-4.35658362989324,71.1590467687563,-121.92,-108,-100,-5,121,138.499999999999,182,6857.54163701068,2563.74611599971,281,668,1586.8,7418,9966.2,10154,10305.88,31.7439544807966,27.2458403709302,0,0.125,1,25,84,89.875,109.6,45.8200568990043,22.7753296384291,7,8,9,45,87.75,93,100,1423
"Morus rubra",-64.1977011494253,33.6009723122,-120,-108.15,-100.6,-75,9,16.4499999999999,44.66,9056.32873563218,1068.92957999272,5778,6630.85,7044,9398,10096.4,10269,10401,45.6114942528736,23.1698468501974,13,15.85,19,38,85,86.15,88.66,31.1724137931034,15.1184317699694,7,7,8,32,50,52,55.66,435
"Myrica esculenta",51.6138613861386,40.1339722343064,-13.98,-8.95,-7,49.5,103,107,211,4419.76237623762,1119.39421382308,650.58,1092,2531,4350,6281,6600,6741.82,18.9108910891089,18.2239244698448,1.01,4,7.1,15,40,41.975,131,79.8663366336634,12.3436270924134,50.09,60.05,64,81,96.95,113.925,123,202
"Myrtus communis",46.8534428300695,20.2882826118406,-7.18,10.55,13,47,77,82,101,5360.12760581175,846.552451557906,1109,3436,4293.2,5386,6582,6858.15,7435.1,10.4731522425774,7.73325068948961,0,1,1,10,19,32,46.1800000000001,47.7902716361339,13.9375610112603,20.82,29.55,32,44,75,84.45,93,1611
"Nectandra megapotamica",100.544303797468,23.0988628191929,47,56.775,66,100,147,150.225,155,2861.53955696203,625.569373628529,1222,1242,1663,2910,3647,3802.4,3821,68.3370253164557,31.4967664581287,11,14,22,68.5,123,132,133,34.0775316455696,18.354719354493,9,9,12,28,71,74,77.0699999999998,632
