"","tmin.mean","tmin.sd","tmin.01","tmin.025","tmin.05","tmin.50","tmin.95","tmin.975","tmin.99","tseas.mean","tseas.sd","tseas.01","tseas.025","tseas.05","tseas.50","tseas.95","tseas.975","tseas.99","pmin.mean","pmin.sd","pmin.01","pmin.025","pmin.05","pmin.50","pmin.95","pmin.975","pmin.99","pseas.mean","pseas.sd","pseas.01","pseas.025","pseas.05","pseas.50","pseas.95","pseas.975","pseas.99","gbif.records"
"Ilex latifolia",-2.12162162162162,27.2808592153198,-82,-40.75,-32,-2,29,57.8249999999999,93.5099999999999,7738.32432432432,804.119259677185,5013.45,5193,6031.15,7880,8638,8653.575,8727,51.3783783783784,11.8664979112115,29.57,32,32,52.5,68.35,74.05,79.54,47.7027027027027,9.06253726262303,21,29.25,36.65,47.5,59.35,62,64.7,75
"Ilex macfadyenii",111.166666666667,53.0624499576265,18,22.45,25.8,128,185,187.775,199.22,1265.25555555556,231.792408146615,972,978.25,988,1249,1663.55,1887.75,2142.56,62.6777777777778,39.6285641441857,19.89,20,22,48.5,145.8,173.15,179,49.1222222222222,13.1737121433351,25,26,26,50,70.1,75.6499999999999,80.88,90
"Ilex micrococca",48.3787878787879,42.3787073128259,-19.96,-11,-7,44,116,159,159,5730.06818181818,1810.68910140574,1146,1326,3257,6003,8091,8292.775,8478.5,46.5,42.2172545050808,6,7,10,40,174,175,193,61.6515151515151,16.2564920514009,17,29,30.2,61,86,87,88.11,264
"Ilex mitis",76.7981171548117,39.9218613313306,-18,-4.25,3.5,83,141,156.25,162,2012.84309623431,1153.50472302287,282.4,316.375,421,1970,4219.5,4337,4413,20.2960251046025,15.1183541894719,0,0,3,15,50,50,59.9000000000001,70.4194560669456,19.8010734839665,13,20.875,40,73,103,104,106,971
"Ilex opaca",-31.8324607329843,37.4576700559203,-90.2,-88,-81.5,-42,35.5,48,64.2,7924.52879581152,1103.29079907535,4602.5,4835,6267,8172,9406,9406,9407.4,69.7696335078534,16.153191614621,11.9,22,44,73,88,88,89,18.3926701570681,11.9427471357526,7.9,8,9,16,47,54,77.1,194
"Ilex rotunda",68.4293785310734,57.3531611817307,-32,-32,-8.5,58,159,160,166,5726.78531073446,1892.89124443416,2587,2615,2624,6043,8273,8520,8684,59.8418079096045,41.1526544196349,9,13,15,46,152,169.5,176,57.6760828625235,20.2750095387621,18,18,19,57,93,95.75,98.8000000000002,540
"Ilex theezans",111.330434782609,37.6907678858105,45.32,50,57.4,107,184,186,192,2271.86086956522,789.397053028852,761,906.2,1045,2611,3396.6,3467,3521,66.2115942028986,33.4052614581994,1.44,4.6,10,78,109.8,119.2,127.12,39.4869565217391,21.0724243442751,10,10,11,37,80.8,86,88.68,352
"Ilex verticillata",-90.4069319640565,39.9989396158837,-194,-178,-161.1,-90,-29.7000000000003,1,11.22,8892.06033376123,937.877951348192,6338.2,6626.15,7187.4,8794,10719.2,10840,11035.66,73.6829268292683,16.7534166766952,26,33,35,80,90,92,93.22,13.1026957637997,6.80217948012363,6,6,7,12,25.0999999999999,29,40.22,782
"Jacaranda copaia",196.59328358209,28.3007334091551,105.12,133,138.75,204,226,227.925,229,592.075870646766,280.7508398688,266,269,324.15,493.5,1218.4,1349.9,1598.52,79.7114427860697,61.5508684595716,2,2,9,65.5,193,212,266,46.4713930348259,17.0956703657694,12,16,17,47,74,79,81,806
"Jasminum fruticans",17.7720125786164,24.2351755144664,-42,-27,-20.45,15,55,62,73,5911.61320754717,623.539226790953,4472,4971.525,5161,5897,6949.35,7491.625,7963.03,18.8930817610063,11.9799681713888,1,2,3,18,43,49.4499999999998,56,35.6218553459119,13.5385079611394,15,18.775,20,31,61,66.2249999999999,72,1277
"Juglans australis",64.7045454545455,38.4263593791738,-36.75,6,8.7,64.5,116.1,130.875,135.42,3124.90909090909,796.042882395859,1781.24,1823,1863.45,3268.5,4074.3,4087.625,4452.8,7.34090909090909,8.91286809949442,0.43,1,1.3,5,18.65,20,41.66,85.6818181818182,12.8149126924459,52,52.675,61.3,86.5,100.55,101,109.55,44
"Juglans regia",-9.99328295549958,36.0420616355979,-88.3,-80,-61,-14,52,63,72.1999999999998,5904.36272040302,1158.88983289782,2967,3751.75,4042,5831,8289,8446.5,8590.79999999999,30.6314021830395,24.146005211962,0,1,2,25,74,84,90,42.1494542401343,27.8233533061293,9,10,11,31,88,93,100,1198
"Juniperus communis",-76.5196382108785,75.7420757363141,-323,-283,-227,-63,7,16.25,30,6845.72655185231,2176.56553122345,3511,3931.5,4267.5,6256,11215,13673,14831,40.9878577623591,22.848444181049,5,7,9,36,87,93,102.3,30.635856771156,15.0856488383383,7,9,13,26,65,74,77,8154
"Juniperus oxycedrus",21.9345838587642,23.1267999767763,-28,-19,-8,19,61,65,73,5749.73344892812,407.479475384905,4843,5047,5161,5771,6253,6437.825,6850.26,16.6325662042875,7.67804624082009,1,3,5,16,28,33,41,35.1894703656999,9.85252056698621,20,24,26,33,52,65,70,12808
"Knightia excelsa",48.6388888888889,18.3149474907056,25,25,28,43,75.5,83.75,86.9,3207.91666666667,338.951777016816,2354.1,2388.75,2670.75,3133,3723,3723,3723,85.1944444444444,34.1808797382768,1,1,34,79,137,138.5,144.8,23.0277777777778,16.9343034967676,11.35,11.875,12.75,18,42.25,88.25,89.3,37
"Krugiodendron ferreum",178.443786982249,23.180928631961,132,133,148,183,210.4,213.8,239,1425.54437869822,631.79556065177,671,736,736,1172,2980,3086,3386,33.5443786982249,20.3018761096116,1,1,1,33,67,75.3999999999999,93.1999999999998,55.887573964497,18.7300471463135,25.04,30,31,55,93,96,97.28,173
"Kunzea ericoides",13.1360874848117,28.6489100398966,-37,-34,-31,10,62,71.4499999999999,77.78,4328.0085054678,746.713210777056,2894,3001,3117,4413,5301.6,5380,5469,56.8821385176185,21.1412687664723,26,34,38,53,93.9,114.15,130.34,19.4580801944107,8.56919053821182,10,11,12,16,38,43,47.78,824
"Laurus azorica",88.9333333333333,27.1531012794286,14,16.1,37.4,96,116,130.4,137.04,3213.75555555556,1161.3565961557,2393.2,2466,2466,2770,6708.2,6733,6925.08,9.06666666666667,13.6671470721182,0.44,1,1,3,39.8,40,42.24,67.9777777777778,17.5090741265116,34.44,35,35.4,76,85,85,86.12,52
"Laurus nobilis",40.8006329113924,29.0111427236923,-52,-32,-9,46,76.4499999999999,89.45,106.69,4977.40981012658,1192.96782951138,1934.08,2532.3,3113.4,5161,7175,7509.6,7814,28.9604430379747,25.0817999653593,0,1,1,18,72.4499999999999,80,105.14,40.5933544303797,19.4594336908837,11.31,13,16,39,75.4499999999999,91.225,104.69,640
"Lecointea amazonica",191.043859649123,14.3628024669906,148,148,167.85,191,209.35,212,213.74,715.131578947368,268.866796416337,308.52,312,323,732,1419.5,1501.45,1557.37,65.280701754386,44.8074560743763,5,5.825,12,58,168,200.575,208,54.9824561403509,15.1371210225737,22,22,22.65,58.5,81,81.875,91.22,116
"Leptospermum scoparium",41.1726332537788,23.2646696851783,-16,-7,-3,46,69.4000000000001,77.5999999999999,88.4400000000001,3095.10103420843,651.927479120469,2275.48,2308,2350,2978,4192.8,4723,5234,58.9777247414479,26.7297065158631,26,27,32,53,110.4,127,150.88,23.8249801113763,9.20751111036713,11,12,13,22,38,40,60,1291
"Ligustrum japonicum",32.5011933174224,52.52975346004,-62.58,-35.55,-32,13,133,145,152.38,6234.01193317422,1825.66884705078,1965.34,2567,2661,7147,8203.4,8293.9,8755,55.6300715990453,37.1456998450764,1,2,3,51,157,177,182,50.5680190930788,20.1875661348612,12.18,17,21,45,94,100,100,424
"Ligustrum lucidum",33.6575028636884,39.8748413668617,-36.28,-25,-17.4,28,107,134,153.12,5660.22565864834,2086.06324026104,588,1143.8,2194.6,5664,8684,9029,9181.8,35.1615120274914,22.3688898377532,1,2,3,36,74.8,84,101.28,52.4570446735395,23.2527654263235,12,12,14,52,92,97,97,886
"Ligustrum sinense",40.6245297215952,42.0070063749686,-47.44,-26,-17,34,119.2,131,145,5575.86155003762,2037.83742688359,601.28,2379,2677,5342,8684,8946,8960,44.3438675696012,26.965309213775,4,8,11,41,97,101.8,130.08,52.0060195635816,22.5664339150248,12,13,14,55,87,93,97,1330
"Liquidambar styraciflua",20.9582245430809,75.3063087334613,-108.62,-83,-81.9,5,144.9,157,162.7,5526.70234986945,3101.30848253485,630,871.6,932,6361,9574.4,9742,9742,50.088772845953,27.792187954844,1,1,2,54,84,87.45,91.18,39.6083550913838,27.2878419345367,8,8,8,31,87,92.45,95.18,384
"Litchi chinensis",123.733944954128,56.5034646924965,5.4,31.7,51.2,103,225,232.2,235,3298.63302752294,2163.92279959401,295,313.9,322,3257,5915,7210,7473.12,53.605504587156,57.4677072522157,1.4,6,9,34,179.2,199.9,237,61.3577981651376,22.1273765979393,19,19.7,22,64,88,90.5,100.44,111
