gs,growthForm,vesselSize,vesselNumber,Tree,Shrub,Liana,GF3,GF2
Fagraea salticola,NA,0.005410608,14,NA,NA,NA,NA,NA
Fagus sylvatica,S_T,0.002318495,110,NA,NA,NA,NA,NA
Faidherbia albida,NA,0.03630503,5,NA,NA,NA,NA,NA
Fernandoa adenophylla,NA,0.008171282,17,NA,NA,NA,NA,NA
Fernelia buxifolia,NA,0.000706858,76,NA,NA,NA,NA,NA
Ficalhoa laurifolia,T,0.017671459,16,NA,NA,NA,NA,NA
Ficus calimana,NA,0.0254469,3,1,0,0,Tree,Arbor
Ficus carica,NA,0.010386891,9,1,0,0,Tree,Arbor
Ficus pseudosycomorus,NA,0.011309734,25,NA,NA,NA,NA,NA
Ficus sycomorus,T,0.022432542,4.5,NA,NA,NA,NA,NA
Fontanesia phillyreoides,NA,0.001734945,238,NA,NA,NA,NA,NA
Franklinia alatamaha,NA,0.001134115,221,NA,NA,NA,NA,NA
Fraxinus syriaca,T,0.015393804,15,NA,NA,NA,NA,NA
Freziera undulata,NA,0.005674502,34,NA,NA,NA,NA,NA
Gagnebina pterocarpa,NA,0.002922467,15,NA,NA,NA,NA,NA
Garnieria spathulifolia,S_T,0.00490167,16,NA,NA,NA,NA,NA
Garrya buxifolia,NA,0.000530929,172,NA,NA,NA,NA,NA
Garrya elliptica,NA,0.000615752,178,NA,NA,NA,NA,NA
Garrya fadyena,T,0.001017876,95,NA,NA,NA,NA,NA
Garrya flavescens,NA,0.000490874,231,NA,NA,NA,NA,NA
Garrya fremontii,NA,0.00066052,147,NA,NA,NA,NA,NA
Garrya glaberrima,NA,0.000380133,216,NA,NA,NA,NA,NA
Garrya laurifolia,NA,0.001520531,95,1,0,0,Tree,Arbor
Garrya longifolia,NA,0.001963495,56,1,0,0,Tree,Arbor
Garrya ovata,S,0.000530929,163,1,0,0,Tree,Arbor
Garrya veatchii,NA,0.000415476,286,NA,NA,NA,NA,NA
Garrya wrightii,S,0.000314159,263,0,1,0,Shrub,Arbor
Gastonia cutispongia,NA,0.001809557,49,NA,NA,NA,NA,NA
Gastonia mauritiana,NA,0.001590431,21,NA,NA,NA,NA,NA
Gaultheria anastomosans,NA,0.00066052,89,0,1,0,Shrub,Arbor
Gaultheria buxifolia,NA,0.000614378,167,0,1,0,Shrub,Arbor
Gaultheria erecta,NA,0.000467574,224.3,1,1,0,2,Arbor
Gaultheria eriophylla,NA,0.000314159,338,0,1,0,Shrub,Arbor
Gaultheria mucronata,NA,0.000208131,346.5,NA,NA,NA,NA,NA
Gaultheria reticulata,NA,0.000452389,161,0,1,0,Shrub,Arbor
Gaultheria rigida,NA,0.000598866,233,0,1,0,Shrub,Arbor
Gaultheria rudis,NA,0.000380133,379,NA,NA,NA,NA,NA
Gaultheria shallon,S,0.000380918,399.5,NA,NA,NA,NA,NA
Gaultheria strigosa,NA,0.000380918,283.5,0,1,0,Shrub,Arbor
Gaultheria tomentosa,NA,0.000254469,243,0,1,0,Shrub,Arbor
Genipa americana,T,0.003216991,30,1,1,0,2,Arbor
Genista fasselata,NA,0.001963495,80,NA,NA,NA,NA,NA
Gilletiodendron glandulosum,NA,0.002827433,50,NA,NA,NA,NA,NA
Gironniera reticulata,NA,0.015393804,8,NA,NA,NA,NA,NA
Gironniera subaequalis,T,0.012468981,10,NA,NA,NA,NA,NA
Gironniera yunnanensis,NA,0.013273229,9,NA,NA,NA,NA,NA
Gmelina arborea,NA,0.026880252,6,1,0,0,Tree,Arbor
Goldmania paraguensis,NA,0.007853982,7,NA,NA,NA,NA,NA
Gonioma kamassi,NA,0.005674502,107.5,NA,NA,NA,NA,NA
Gonocytisus pterocladus,NA,0.002375829,60,NA,NA,NA,NA,NA
Gordonia axillaris,NA,0.001452201,154,NA,NA,NA,NA,NA
Gordonia excelsa,NA,0.007697687,16,NA,NA,NA,NA,NA
Gordonia hainanensis,NA,0.001809557,113,NA,NA,NA,NA,NA
Gordonia lasianthus,NA,0.001885741,140,NA,NA,NA,NA,NA
Gordonia papuana,NA,0.004243114,61,NA,NA,NA,NA,NA
Gossweilerodendron balsamiferum,T,0.013273229,11,NA,NA,NA,NA,NA
Gossweilerodendron joveri,NA,0.031415927,2,NA,NA,NA,NA,NA
Goupia glabra,T,0.020862139,9,1,0,0,Tree,Arbor
Grevillea robusta,T,0.015393804,9,1,0,0,Tree,Arbor
Grewia villosa,S,0.002375829,95,NA,NA,NA,NA,NA
Griselinia littoralis,T,0.000968569,149,NA,NA,NA,NA,NA
Griselinia lucida,NA,0.003515772,27.5,NA,NA,NA,NA,NA
Griselinia ruscifolia,NA,0.000754768,223,NA,NA,NA,NA,NA
Guazuma ulmifolia,T,0.013273229,13,1,1,0,2,Arbor
Guibourtia arnoldiana,NA,0.009503318,15,NA,NA,NA,NA,NA
Guibourtia conjugata,NA,0.005674502,38,NA,NA,NA,NA,NA
Guibourtia copallifera,NA,0.005026548,18,NA,NA,NA,NA,NA
Guibourtia ehie,NA,0.015393804,5,NA,NA,NA,NA,NA
Gymnanthes borneensis,NA,0.010386891,12,NA,NA,NA,NA,NA
Gymnanthes hypoleuca,NA,0.003318307,21,NA,NA,NA,NA,NA
Gymnanthes klotzschiana,NA,0.002827433,35,NA,NA,NA,NA,NA
Gymnanthes lucida,NA,0.000855299,50,1,0,0,Tree,Arbor
Gymnanthes schottiana,NA,0.001590431,36,NA,NA,NA,NA,NA
Gymnocarpos decandrus,NA,0.000615752,200,NA,NA,NA,NA,NA
Haenianthus salicifolius,NA,0.010386891,21,NA,NA,NA,NA,NA
Hagenia abyssinica,T,0.012867964,17,NA,NA,NA,NA,NA
Halesia carolina,T,0.002375829,96,NA,NA,NA,NA,NA
Halesia diptera,NA,0.001963495,110,NA,NA,NA,NA,NA
Halesia macgregorii,NA,0.002206183,100,NA,NA,NA,NA,NA
Halogeton alopecuroides,NA,0.000962113,50,NA,NA,NA,NA,NA
Halothamnus lancifolius,NA,0.000706858,110,NA,NA,NA,NA,NA
Haloxylon persicum,S,0.001963495,35,NA,NA,NA,NA,NA
Haloxylon salicornicum,NA,0.000962113,50,NA,NA,NA,NA,NA
Hammada negevensis,NA,0.000706858,90,NA,NA,NA,NA,NA
Hammada scoparia,NA,0.000490874,100,NA,NA,NA,NA,NA
Harpullia cupanioides,T,0.006939778,13,1,0,0,Tree,Arbor
Hedera helix,C,0.000962113,225,0,1,1,2,0
Hedycarya arborea,T,0.001963495,34,NA,NA,NA,NA,NA
Helicia nilagirica,NA,0.007853982,25,NA,NA,NA,NA,NA
Helicostylis tovarensis,NA,0.016512996,9,1,0,0,Tree,Arbor
Helwingia himalaica,NA,0.000994707,88,NA,NA,NA,NA,NA
Helwingia japonica,NA,0.00066052,134,NA,NA,NA,NA,NA
Henoonia myrtifolia,NA,0.001520531,62,NA,NA,NA,NA,NA
Heritiera utilis,NA,0.053092916,3,NA,NA,NA,NA,NA
Hesperomeles heterophylla,NA,0.001256637,88,1,1,0,2,Arbor
Hesperomeles lanuginosa,NA,0.002123717,60,1,1,0,2,Arbor
Hevea brasiliensis,S_T,0.033006358,2,1,0,0,Tree,Arbor
Hibiscus micranthus,S,0.001452201,100,NA,NA,NA,NA,NA
Hibiscus tiliaceus,T,0.014957123,19,NA,NA,NA,NA,NA
Hieronyma alchorneoides,T,0.041547563,6,NA,NA,NA,NA,NA
Hippocratea myriantha,NA,0.024052819,8,NA,NA,NA,NA,NA
Hippocratea vignei,NA,0.024052819,8,NA,NA,NA,NA,NA
Hippocratea volubilis,C,0.024052819,8,1,0,1,2,0
Holodiscus discolor,S,0.000962113,65,0,1,0,Shrub,Arbor
Holostylis reniformis,NA,0.000962113,68,NA,NA,NA,NA,NA
Huertea glandulosa,T,0.008332289,11,1,0,0,Tree,Arbor
Hunnemannia fumariifolia,NA,0.002290221,80,NA,NA,NA,NA,NA
Huodendron biaristatum,NA,0.002551759,83,NA,NA,NA,NA,NA
Hura crepitans,T,0.022167078,4,1,0,0,Tree,Arbor
Hylenaea comosa,NA,0.017671459,14,1,0,1,2,0
Hylenaea praecelsa,C,0.017671459,14,0,0,1,Liana,Liana
Hymenaea courbaril,T,0.024052819,3,1,0,0,Tree,Arbor
Ileostylus micranthus,NA,0.001134115,74,NA,NA,NA,NA,NA
Ilex amplifolia,NA,0.003525652,43,1,0,0,Tree,Arbor
Ilex anomala,T,0.003600658,41,NA,NA,NA,NA,NA
Ilex aquifolium,S_T,0.000697695,138.3,NA,NA,NA,NA,NA
Ilex argentina,T,0.002463009,69,1,1,0,2,Arbor
Ilex berteroi,NA,0.002375829,29,NA,NA,NA,NA,NA
Ilex brasiliensis,NA,0.001661903,104,0,1,0,Shrub,Arbor
Ilex brevicuspis,NA,0.001385442,105,0,1,0,Shrub,Arbor
Ilex buergeri,S_T,0.001385442,140,NA,NA,NA,NA,NA
Ilex caliana,NA,0.003959192,21,NA,NA,NA,NA,NA
Ilex canariensis,T,0.002552544,44,NA,NA,NA,NA,NA
Ilex caroliniana,NA,0.001138827,178,NA,NA,NA,NA,NA
Ilex casiquiarensis,NA,0.003525652,64,NA,NA,NA,NA,NA
Ilex cassine,NA,0.001888883,71,1,0,0,Tree,Arbor
Ilex chapaensis,NA,0.005541769,46,NA,NA,NA,NA,NA
Ilex chinensis,T,0.001385442,72,NA,NA,NA,NA,NA
Ilex cinerea,NA,0.002733971,78,NA,NA,NA,NA,NA
Ilex cissoidea,NA,0.00664761,14,NA,NA,NA,NA,NA
Ilex coriacea,S_T,0.00090792,140,NA,NA,NA,NA,NA
Ilex cornuta,NA,0.000952295,79,NA,NA,NA,NA,NA
Ilex crenata,S,0.001170243,68,NA,NA,NA,NA,NA
Ilex curranii,NA,0.001885741,69,NA,NA,NA,NA,NA
Ilex cymosa,NA,0.007601476,21,NA,NA,NA,NA,NA
Ilex decidua,S_T,0.001134115,101,0,1,0,Shrub,Arbor
Ilex dipyrena,NA,0.001249176,123.5,NA,NA,NA,NA,NA
Ilex divaricata,NA,0.002375829,55,0,1,0,Shrub,Arbor
Ilex dubia,NA,0.001661903,186,NA,NA,NA,NA,NA
Ilex dumosa,T,0.001520531,138,0,1,0,Shrub,Arbor
Ilex excelsa,NA,0.003848451,54,NA,NA,NA,NA,NA
Ilex fargesii,NA,0.001134115,99,NA,NA,NA,NA,NA
Ilex ficoidea,NA,0.002290221,84,NA,NA,NA,NA,NA
Ilex formosana,NA,0.002375829,74,NA,NA,NA,NA,NA
Ilex fragilis,NA,0.002375829,69,NA,NA,NA,NA,NA
Ilex glabra,S,0.000774795,130,NA,NA,NA,NA,NA
Ilex godajam,NA,0.006361725,15,NA,NA,NA,NA,NA
Ilex goshiensis,NA,0.002382898,78,NA,NA,NA,NA,NA
Ilex guianensis,T,0.005152212,39,1,0,0,Tree,Arbor
Ilex havilandii,NA,0.002168092,43,NA,NA,NA,NA,NA
Ilex hypoglauca,NA,0.005026548,13,NA,NA,NA,NA,NA
Ilex insignis,NA,0.003019071,76,NA,NA,NA,NA,NA
Ilex integra,NA,0.001696853,73,NA,NA,NA,NA,NA
Ilex intricata,NA,0.001452201,55,NA,NA,NA,NA,NA
Ilex inundata,T,0.002463009,37,1,1,0,2,Arbor
Ilex jenmanii,NA,0.005410608,27,NA,NA,NA,NA,NA
Ilex kleinii,NA,0.000530929,94,NA,NA,NA,NA,NA
Ilex krugiana,NA,0.003117245,40,NA,NA,NA,NA,NA
Ilex kwangtungensis,NA,0.001661903,134,NA,NA,NA,NA,NA
Ilex latifolia,T,0.001963495,77,NA,NA,NA,NA,NA
Ilex laurifolia,NA,0.003631681,48,NA,NA,NA,NA,NA
Ilex laurina,NA,0.005026548,18,1,0,0,Tree,Arbor
Ilex ledermannii,NA,0.009277123,13,NA,NA,NA,NA,NA
Ilex liukiuensis,NA,0.002290221,32,NA,NA,NA,NA,NA
Ilex longipes,NA,0.001134115,107,NA,NA,NA,NA,NA
Ilex macfadyenii,T,0.002642079,48,0,1,0,Shrub,Arbor
Ilex martiniana,NA,0.003848451,32,NA,NA,NA,NA,NA
Ilex micrococca,NA,0.002922467,70,NA,NA,NA,NA,NA
Ilex mitis,T,0.004397052,40,NA,NA,NA,NA,NA
Ilex montana,S_T,0.00222307,73,NA,NA,NA,NA,NA
Ilex myricoides,NA,0.002922467,16,1,1,0,2,Arbor
Ilex nayana,NA,0.005541769,40,1,0,0,Tree,Arbor
Ilex opaca,T,0.001138827,136,NA,NA,NA,NA,NA
Ilex ovalifolia,NA,0.003117245,47,NA,NA,NA,NA,NA
Ilex paraguariensis,NA,0.002375829,80,1,0,0,Tree,Arbor
Ilex perado,NA,0.00149854,106,NA,NA,NA,NA,NA
Ilex petiolaris,NA,0.005026548,16,1,0,0,Tree,Arbor
Ilex quercetorum,T,0.001385442,64,1,0,0,Tree,Arbor
Ilex repanda,NA,0.002375829,42,NA,NA,NA,NA,NA
Ilex rimbachii,NA,0.003019071,34,1,0,0,Tree,Arbor
Ilex rotunda,T,0.002922467,33,NA,NA,NA,NA,NA
Ilex sclerophylloides,NA,0.010028749,13,NA,NA,NA,NA,NA
Ilex sebertii,NA,0.003117245,29,NA,NA,NA,NA,NA
Ilex serrata,NA,0.001134115,115,NA,NA,NA,NA,NA
Ilex sideroxyloides,T,0.00453646,37,NA,NA,NA,NA,NA
Ilex subrugosa,NA,0.001963495,109,NA,NA,NA,NA,NA
Ilex theezans,T,0.001963495,66,NA,NA,NA,NA,NA
Ilex tolucana,NA,0.002123717,48,1,0,0,Tree,Arbor
Ilex umbellata,NA,0.005026548,24,NA,NA,NA,NA,NA
Ilex uniflora,NA,0.003117245,28,1,1,0,2,Arbor
Ilex versteeghii,NA,0.003959192,26,NA,NA,NA,NA,NA
Ilex verticillata,S,0.001385442,97,NA,NA,NA,NA,NA
Ilex volkensiana,NA,0.002733971,31,NA,NA,NA,NA,NA
Illicium anisatum,T,0.001520531,153,NA,NA,NA,NA,NA
Illicium arborescens,NA,0.003959192,67,NA,NA,NA,NA,NA
Illicium cubense,NA,0.002290221,80,NA,NA,NA,NA,NA
Illicium floridanum,S,0.001194591,248,NA,NA,NA,NA,NA
Illicium henryi,T,0.002922467,76,NA,NA,NA,NA,NA
Illicium majus,NA,0.002733971,193,NA,NA,NA,NA,NA
Illicium parviflorum,S,0.001134115,317,NA,NA,NA,NA,NA
Illicium ridleyanum,NA,0.003421194,46,NA,NA,NA,NA,NA
Illicium tashiroi,NA,0.002042821,146,NA,NA,NA,NA,NA
Illicium tenuifolium,NA,0.003019071,61,NA,NA,NA,NA,NA
Impatiens arguta,NA,0.001661903,48,NA,NA,NA,NA,NA
Impatiens niamniamensis,NA,0.00453646,29,NA,NA,NA,NA,NA
Indopiptadenia oudhensis,NA,0.013273229,5,NA,NA,NA,NA,NA
Inga uraguensis,NA,0.013273229,4,1,0,0,Tree,Arbor
Inula crithmoides,NA,0.000855299,45,NA,NA,NA,NA,NA
Irvingia gabonensis,T,0.032365473,4,NA,NA,NA,NA,NA
Irvingia malayana,NA,0.032365473,4,NA,NA,NA,NA,NA
Ixerba brexioides,NA,0.001237858,90,NA,NA,NA,NA,NA
Jacaranda arborea,NA,0.008824734,21,NA,NA,NA,NA,NA
Jacaranda brasiliana,NA,0.005089576,17.5,1,0,0,Tree,Arbor
Jacaranda caerulea,NA,0.006157521,15.55634919,NA,NA,NA,NA,NA
Jacaranda caroba,NA,0.006082123,11,0,1,0,Shrub,Arbor
Jacaranda caucana,NA,0.004912207,14.3,1,0,0,Tree,Arbor
Jacaranda copaia,T,0.032840246,3.8,1,0,0,Tree,Arbor
Jacaranda cuspidifolia,NA,0.005451547,18.5,1,0,0,Tree,Arbor
Jacaranda glabra,T,0.014235342,28.5,1,0,0,Tree,Arbor
Jacaranda hesperia,NA,0.013684778,11,1,0,0,Tree,Arbor
Jacaranda micrantha,NA,0.006654679,20,1,0,0,Tree,Arbor
Jacaranda mimosifolia,S_T,0.003413733,31.3,1,0,0,Tree,Arbor
Jacaranda morii,NA,0.002551759,63.5,0,1,0,Shrub,Arbor
Jacaranda obtusifolia,T,0.005751078,14.3,1,0,0,Tree,Arbor
Jacaranda poitaei,NA,0.005541769,15,NA,NA,NA,NA,NA
Jacaranda puberula,NA,0.005741457,25,1,0,0,Tree,Arbor
Jacaranda rhombifolia,NA,0.002827433,14,NA,NA,NA,NA,NA
Jacaratia hassleriana,NA,0.001885741,53,NA,NA,NA,NA,NA
Jasminum fruticans,S,0.000855299,150,NA,NA,NA,NA,NA
Juglans australis,NA,0.034636059,15,1,0,0,Tree,Arbor
Juglans regia,S_T,0.017018596,10.1,1,0,0,Tree,Arbor
Kageneckia lanceolata,NA,0.001256637,164,1,1,0,2,Arbor
Kaliphora madagascariensis,NA,0.000706858,147,NA,NA,NA,NA,NA
Karwinskia calderonii,NA,0.003739281,61,NA,NA,NA,NA,NA
Karwinskia humboldtiana,NA,0.003318307,40,1,0,0,Tree,Arbor
Karwinskia latifolia,NA,0.003959192,59,0,1,0,Shrub,Arbor
Karwinskia mollis,NA,0.003019071,56,0,1,0,Shrub,Arbor
Karwinskia parvifolia,NA,0.003848451,51,NA,NA,NA,NA,NA
Keetia cornelia,NA,0.001256637,43,NA,NA,NA,NA,NA
Keetia gueinzii,NA,0.010935884,13,NA,NA,NA,NA,NA
Keetia hispida,NA,0.005281017,30,NA,NA,NA,NA,NA
Kigelia africana,NA,0.006519197,8.5,1,0,0,Tree,Arbor
Knightia excelsa,T,0.005944679,27,NA,NA,NA,NA,NA
Kokoona littoralis,NA,0.003117245,22,NA,NA,NA,NA,NA
Koompassia excelsa,NA,0.046495571,3,NA,NA,NA,NA,NA
Koompassia malaccensis,NA,0.056322866,3,NA,NA,NA,NA,NA
Krugiodendron ferreum,T,0.002922467,45,1,0,0,Tree,Arbor
Kunzea ericoides,S,0.003318307,33,NA,NA,NA,NA,NA
Kunzea sinclairii,NA,0.002642079,44,NA,NA,NA,NA,NA
Lactoris fernandeziana,NA,0.001320254,20.5,NA,NA,NA,NA,NA
Lagynias pallidiflora,NA,0.000754768,86,NA,NA,NA,NA,NA
Laurelia novae-zelandiae,NA,0.002827433,83,NA,NA,NA,NA,NA
Laurocerasus fordiana,NA,0.003019071,62,NA,NA,NA,NA,NA
Laurocerasus hypotricha,NA,0.004417865,53,NA,NA,NA,NA,NA
Laurus azorica,T,0.005152997,19.7,NA,NA,NA,NA,NA
Laurus nobilis,S,0.002463401,35,0,1,0,Shrub,Arbor
Lecointea amazonica,T,0.00664761,16,1,0,0,Tree,Arbor
Lepidocordia punctata,T,0.002827433,132,1,0,0,Tree,Arbor
Lepidocordia williamsii,NA,0.002375829,120,1,0,0,Tree,Arbor
Lepisanthes rubiginosa,NA,0.005026548,10,NA,NA,NA,NA,NA
Lepisanthes senegalensis,NA,0.005026548,10,NA,NA,NA,NA,NA
Leptospermum scoparium,S,0.002375829,54,NA,NA,NA,NA,NA
Leucopogon cymbulae,NA,0.001141184,45,NA,NA,NA,NA,NA
Leucopogon fasciculatus,S,0.000962113,28,NA,NA,NA,NA,NA
Leucopogon malayanus,NA,0.001017876,97,NA,NA,NA,NA,NA
Leucopogon richei,NA,0.000754768,63,NA,NA,NA,NA,NA
Leucothoe axillaris,NA,0.000314159,198,NA,NA,NA,NA,NA
Leucothoe fontanesiana,NA,0.000254469,240,NA,NA,NA,NA,NA
Leucothoe grayana,NA,0.000415476,170,NA,NA,NA,NA,NA
Licaria armeniaca,NA,0.003848451,24,1,1,0,2,Arbor
Licaria campechiana,NA,0.003318307,52,NA,NA,NA,NA,NA
Licaria canella,T,0.012016592,13,1,0,0,Tree,Arbor
Licaria capitata,NA,0.006361725,19,1,0,0,Tree,Arbor
Licaria guianensis,T,0.009503318,13,1,0,0,Tree,Arbor
Licaria subbullata,NA,0.007107853,15,NA,NA,NA,NA,NA
Ligustrum confusum,NA,0.000962113,239,NA,NA,NA,NA,NA
Ligustrum delavayanum,NA,0.000314159,290,NA,NA,NA,NA,NA
Ligustrum indicum,NA,0.001385442,186,NA,NA,NA,NA,NA
Ligustrum japonicum,S,0.000962113,235,NA,NA,NA,NA,NA
Ligustrum lucidum,S,0.002244668,160,1,1,0,2,Arbor
Ligustrum nepalense,NA,0.001256637,89,NA,NA,NA,NA,NA
Ligustrum sinense,NA,0.001385442,190,0,1,0,Shrub,Arbor
Liquidambar styraciflua,S_T,0.002375829,157.5,1,0,0,Tree,Arbor
Litchi chinensis,S_T,0.009676891,14,NA,NA,NA,NA,NA
Lithocarpus elegans,NA,0.015393804,8,NA,NA,NA,NA,NA
Lithocarpus pachyphyllus,NA,0.010386891,3,NA,NA,NA,NA,NA
Lithraea ternifolia,T,0.002042821,26,0,1,0,Shrub,Arbor
Litsea calicaris,NA,0.00453646,13.5,NA,NA,NA,NA,NA
Loeseneriella apiculata,NA,0.082957681,6,NA,NA,NA,NA,NA
Lonchocarpus leucanthus,NA,0.023506182,1,1,0,0,Tree,Arbor
Lonicera chamissoi,NA,0.001590431,275,NA,NA,NA,NA,NA
Lonicera chrysantha,S,0.000706858,275,NA,NA,NA,NA,NA
Lonicera demissa,NA,0.000706858,275,NA,NA,NA,NA,NA
Lonicera gracilipes,NA,0.000706858,174,NA,NA,NA,NA,NA
Lonicera maackii,S,0.000962113,230,NA,NA,NA,NA,NA
Lonicera morrowii,NA,0.000962113,550,NA,NA,NA,NA,NA
Lonicera praeflorens,S,0.000706858,228,NA,NA,NA,NA,NA
Lonicera tschonoskii,NA,0.001256637,250,NA,NA,NA,NA,NA
Lophira alata,T,0.049875925,4,NA,NA,NA,NA,NA
Lophomyrtus aotearoana,NA,0.001134115,117,NA,NA,NA,NA,NA
Lophomyrtus obcordata,S,0.00066052,121,NA,NA,NA,NA,NA
Lovoa trichilioides,NA,0.014313882,9,NA,NA,NA,NA,NA
Luehea divaricata,NA,0.006361725,15,1,0,0,Tree,Arbor
Lycium depressum,NA,0.003631681,40,NA,NA,NA,NA,NA
Lycium europaeum,NA,0.005410608,60,NA,NA,NA,NA,NA
Lycium schweinfurthii,S,0.003631681,70,NA,NA,NA,NA,NA
Lycium shawii,NA,0.001809557,95,NA,NA,NA,NA,NA
Lyonia ferruginea,S,0.001082279,165,NA,NA,NA,NA,NA
Lyonia heptamera,NA,0.001194591,140,NA,NA,NA,NA,NA
Lyonia jamaicensis,T,0.000855299,73,NA,NA,NA,NA,NA
Lyonia lucida,S,0.000380133,360,NA,NA,NA,NA,NA
Lyonia ovalifolia,S,0.000879122,137.5,NA,NA,NA,NA,NA
Lyonia squamulosa,NA,0.000804248,145,0,1,0,Shrub,Arbor
Lyonothamnus floribundus,T,0.001194591,100,NA,NA,NA,NA,NA
Macfadyena unguis-cati,C,0.009852035,48,0,0,1,Liana,Liana
Machaerium scleroxylon,NA,0.006361725,38,1,0,1,2,0
Maclura africana,NA,0.016512996,12,NA,NA,NA,NA,NA
Maclura brasiliensis,C,0.024052819,30,1,1,1,3,0
Maclura cochinchinensis,C,0.0254469,13,NA,NA,NA,NA,NA
Maclura pomifera,NA,0.017671459,8,NA,NA,NA,NA,NA
Maclura spinosa,NA,0.020106193,25,NA,NA,NA,NA,NA
Maclura tinctoria,T,0.019379307,8,1,1,0,2,Arbor
Maclura tricuspidata,T,0.014313882,6,NA,NA,NA,NA,NA
Maerua crassifolia,NA,0.001809557,45,NA,NA,NA,NA,NA
Maesa chisia,NA,0.001661903,72,NA,NA,NA,NA,NA
Maesa macrophylla,NA,0.002551759,33,NA,NA,NA,NA,NA
Maesa montana,NA,0.001809557,59,NA,NA,NA,NA,NA
Magnolia acuminata,T,0.00453646,82,NA,NA,NA,NA,NA
Magnolia albosericea,NA,0.001963495,28,NA,NA,NA,NA,NA
Magnolia amoena,NA,0.001963495,80,NA,NA,NA,NA,NA
Magnolia cathcartii,NA,0.002827433,55,NA,NA,NA,NA,NA
Magnolia championii,NA,0.001590431,34,NA,NA,NA,NA,NA
Magnolia coco,NA,0.000754768,43,NA,NA,NA,NA,NA
Magnolia cylindrica,NA,0.003318307,45,NA,NA,NA,NA,NA
Magnolia dawsoniana,NA,0.003959192,47,NA,NA,NA,NA,NA
Magnolia delavayi,NA,0.002375829,65,NA,NA,NA,NA,NA
Magnolia drymifolia,NA,0.009852035,8,NA,NA,NA,NA,NA
Magnolia globosa,NA,0.002375829,52,NA,NA,NA,NA,NA
Magnolia grandiflora,S_T,0.002290221,90,1,1,0,2,Arbor
Magnolia henryi,NA,0.004778362,19,NA,NA,NA,NA,NA
Magnolia heptapeta,NA,0.00490167,51,NA,NA,NA,NA,NA
Magnolia hypoleuca,NA,0.00430084,58,NA,NA,NA,NA,NA
Magnolia kobus,NA,0.001521316,84,NA,NA,NA,NA,NA
Magnolia nitida,NA,0.003913246,69,NA,NA,NA,NA,NA
Magnolia officinalis,NA,0.002642079,76,NA,NA,NA,NA,NA
Magnolia phanerophlebia,NA,0.003421194,22,NA,NA,NA,NA,NA
Magnolia quinquepeta,NA,0.002922467,91,NA,NA,NA,NA,NA
Magnolia sargentiana,NA,0.005026548,25,NA,NA,NA,NA,NA
Magnolia sieboldii,NA,0.001963495,80,NA,NA,NA,NA,NA
Magnolia soulangeana,NA,0.002463009,84,NA,NA,NA,NA,NA
Magnolia splendens,T,0.008659015,14,NA,NA,NA,NA,NA
Magnolia sprengeri,NA,0.005026548,36,NA,NA,NA,NA,NA
Magnolia tripetala,T,0.001734945,176,NA,NA,NA,NA,NA
Magnolia zenii,NA,0.001963495,60,NA,NA,NA,NA,NA
Malus baccata,T,0.001278432,230.3,NA,NA,NA,NA,NA
Malus domestica,T,0.000962113,150,1,1,0,2,Arbor
Malus halliana,NA,0.000754768,130,NA,NA,NA,NA,NA
Malus honanensis,NA,0.000962113,168,NA,NA,NA,NA,NA
Malus hupehensis,NA,0.001180061,209,NA,NA,NA,NA,NA
Malus mandshurica,NA,0.000804248,270,NA,NA,NA,NA,NA
Malus melliana,NA,0.000962113,181,NA,NA,NA,NA,NA
Malus pumila,T,0.000962113,171,0,1,0,Shrub,Arbor
Malus rivularis,NA,0.001134115,162,NA,NA,NA,NA,NA
Malus rockii,NA,0.001385442,73,NA,NA,NA,NA,NA
Malus sibirica,NA,0.00066052,293,NA,NA,NA,NA,NA
Malus spectabilis,NA,0.000706858,268,NA,NA,NA,NA,NA
Malus sylvestris,T,0.001194591,185,1,0,0,Tree,Arbor
Malus toringoides,NA,0.000962113,256,NA,NA,NA,NA,NA
Malus trilobata,NA,0.001109375,105,NA,NA,NA,NA,NA
Malus yunnanensis,NA,0.00066052,336,NA,NA,NA,NA,NA
Mammea africana,T,0.032365473,7,NA,NA,NA,NA,NA
Mangifera indica,S_T,0.022698007,5,1,0,0,Tree,Arbor
Manglietia aromatica,NA,0.005281017,25,NA,NA,NA,NA,NA
Manglietia conifera,NA,0.003117245,50,NA,NA,NA,NA,NA
Manglietia dandyi,NA,0.001661903,60,NA,NA,NA,NA,NA
Manglietia fordiana,NA,0.003690193,54.5,NA,NA,NA,NA,NA
Manglietia grandis,NA,0.005152997,35,NA,NA,NA,NA,NA
Manglietia insignis,NA,0.003421194,51,NA,NA,NA,NA,NA
Manglietia lucida,NA,0.006792909,23,NA,NA,NA,NA,NA
Manglietia megaphylla,NA,0.005410608,33,NA,NA,NA,NA,NA
Manglietia moto,NA,0.002290221,59,NA,NA,NA,NA,NA
Manglietia pachyclada,NA,0.002463009,34,NA,NA,NA,NA,NA
Manglietia pachyphylla,NA,0.002375829,68,NA,NA,NA,NA,NA
Manglietia sinica,NA,0.007389811,20,NA,NA,NA,NA,NA
Manilkara bidentata,T,0.009852035,11,1,1,0,2,Arbor
Manilkara kauki,NA,0.007034811,20,NA,NA,NA,NA,NA
Mansoa alliacea,NA,0.012667687,28,0,0,1,Liana,Liana
Mansoa puberulus,NA,0.009160884,61,NA,NA,NA,NA,NA
